Name;Symbol;Sector;Currency;Buy_Low;Buy_High;Target_1Y;Target_3Y;Target_5Y;Target_10Y
A2A SpA;EAM;Utilities & Grid Tech;EUR;1.0;1.5;3.2;;;
Absci Corp;ABSI;Biotechnology & Genomics;USD;2.0;4.0;5.0;;;
ADR on Agora Inc;API;Software (Applications & DevOps);USD;2.0;3.0;6.0;;;
ADR on Alibaba Group Holding;BABA;E-Commerce Platforms;USD;90.0;110.0;140.0;;;
ADR on ARM Holdings;ARM;Semiconductors;USD;60.0;80.0;160.6;;;
ADR on Ehang Holdings Ltd;EH;Urban Air Mobility (eVTOL, Drones);USD;15.0;20.0;19.0;;;
ADR on Foresight Autonomous;FRSX;Autonomous Vehicles & Lidar;USD;0.5;1.0;1.0;;;
ADR on NIO Inc;NIO;EV Manufacturers;USD;40.0;50.0;4.0;;;
ADR on Sony Corp;SONY;Consumer Electronics;USD;14.0;18.0;28.0;;;
ADR on Tuya Inc;TUYA;Software (Applications & DevOps);USD;1.0;2.0;4.0;;;
ADR on Vestas Wind;VWSA;Solar & Wind Power;EUR;2.0;4.0;5.0;;;
ADR on WiMi Hologram Cloud Inc;WIMI;AI & Machine Learning;USD;1.0;3.0;4.0;;;
ADR on Xpeng Inc;XPEV;EV Manufacturers;USD;12.0;15.0;21.7;;;
Advanced Micro Devices Inc;AMD;Semiconductors;USD;100.0;145.0;150.0;;;
AEVA TECHNOLOGIES INC.;AEVA;Autonomous Vehicles & Lidar;USD;18.0;22.0;30.0;;;
AEye Inc;LIDR;Autonomous Vehicles & Lidar;USD;1.0;2.0;1.0;;;
AGEAGLE AERIAL SYSTEMS INC.;UAVS;Urban Air Mobility (eVTOL, Drones);USD;1.5;3.0;1.8;;;
Agilent Technologies;A;Medical Devices & Diagnostics;USD;80.0;90.0;130.0;;;
Akamai Technologies;AKAM;Data Infrastructure (Storage, Networking, CDNs);USD;60.0;75.0;90.0;;;
Albemarle Corp;ALB;Lithium & Battery Materials;USD;40.0;60.0;70.0;;;
Alphabet Inc Class A;GOOGL;Cloud Infrastructure & Services;USD;120.0;160.0;220.0;;;
Amazon.com Inc.;AMZN;E-Commerce Platforms;USD;180.0;220.0;250.0;;;
